[SCAN]              	benevolent_matthew (SCAN:6f90c3850ed47160a11c134530727793d6ae40e7)	TARGET	(in-scope, target)
[DNS_NAME]          	sabzlearn.ir	TARGET	(a-record, domain, in-scope, target)
[ORG_STUB]          	sabzlearn	speculate	(in-scope)
[URL]               	https://sabzlearn.ir/	httpx	(dir, http-title-sabzlearn, in-scope, ip-136-243-61-121, status-200)
[OPEN_TCP_PORT]     	sabzlearn.ir:443	speculate	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "cpe:/a:f5:nginx"}	internetdb	(in-scope)
[EMAIL_ADDRESS]     	info@sabzlearn.ir	httpx->excavate	(in-scope)
[URL]               	http://sabzlearn.ir/	httpx	(dir, http-title-301-moved-permanently, in-scope, ip-136-243-61-121, status-301)
[DNS_NAME]          	srv.wasender.ir	sslcert	(a-record, affiliate, distance-1, subdomain)
[OPEN_TCP_PORT]     	sabzlearn.ir:80	speculate	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "jquery", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[ASN]               	{"asn": "24940", "country": "", "description": "", "name": "", "subnet": "136.243.0.0/16"}	asn	(distance-1)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "owl carousel", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[URL]               	https://sabzlearn.ir:8083/	httpx	(dir, in-scope, ip-136-243-61-121, status-302)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "nginx", "url": "http://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "jquery migrate", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "nginx", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "redis object cache", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "php", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "redis", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "wordpress", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "mysql", "url": "https://sabzlearn.ir/"}	httpx->wappalyzer	(in-scope)
[OPEN_TCP_PORT]     	sabzlearn.ir:8083	internetdb	(in-scope)
[TECHNOLOGY]        	{"host": "sabzlearn.ir", "technology": "nginx", "url": "https://sabzlearn.ir:8083/"}	httpx->wappalyzer	(in-scope)
[DNS_NAME]          	login.windows.net	oauth->host	(a-record, aaaa-record, affiliate, cdn-github, cloud-azure, distance-1, subdomain)
